,id,table_name,table_columns,standard_scales,model_save_keys,model_params,model_config,timestamp_filter,version,update_time_stamp
0,1,_A4101J_CTLC_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 9, ""config_max"": [1.11, 1.42, 1.23, 61.87, 1.11, 1.35, 1.19, 1.17, 1.37], ""config_min"": [1.18, 1.56, 1.28, 62.02, 1.15, 1.44, 1.26, 1.23, 1.47]}","{""timedate_range"": 6, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""01-11-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-10-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
1,2,_A4101J_CICS3_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 4, ""config_max"": [1.77, 2.04, 72.69, 1.71], ""config_min"": [1.88, 2.14, 72.77, 1.81]}","{""timedate_range"": 6, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""01-11-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""25-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-10-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
2,3,_A4101J_LOS_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 4, ""config_max"": [1.4, 1.09, 2.82, 56.19], ""config_min"": [1.81, 1.14, 2.91, 56.28]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
3,4,_A4101J_CPS2_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 3, ""config_max"": [87.44, 3.18, 3.46], ""config_min"": [88.78, 3.43, 3.69]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
4,5,_2K1701_STJB_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 8, ""config_max"": [2.07, 2.59, 93.82, 2.07, 2.06, 2.83, 2, 6.67], ""config_min"": [2.18, 2.76, 95.29, 2.17, 2.14, 3.03, 2.09, 6.84]}","{""timedate_range"": 4, ""timeperiod_from"": [""2018-04-01 00:00:00"", ""2019-10-10 00:00:00"", ""2020-03-01 00:00:00"", ""2022-04-01 00:00:00""], ""timeperiod_to"": [""2019-09-10 00:00:00"", ""2020-02-15 00:00:00"", ""2021-10-10 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
5,6,_2K1701_CTB_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 3, ""config_max"": [23.1, 14.1, 14.4], ""config_min"": [23.71, 16.76, 15.34]}","{""timedate_range"": 5, ""timeperiod_from"": [""2018-03-20 00:00:00"", ""2019-07-15 00:00:00"", ""2019-10-10 00:00:00"", ""2020-02-20 00:00:00"", ""2022-05-01 00:00:00""], ""timeperiod_to"": ["" 2019-04-20 00:00:00"", ""2019-09-10 00:00:00"", ""2020-01-01 00:00:00"", ""2021-07-01 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
6,7,_2K1701_CPS1_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 6, ""config_max"": [2.25, 2.31, 3.36, 462.03, 1.9, 1.81], ""config_min"": [2.45, 5.09, 544.12, 2.06, 2]}","{""timedate_range"": 6, ""timeperiod_from"": [""2018-03-25 00:00:00"", ""2018-06-01 00:00:00"", ""2019-10-10 00:00:00"", ""2020-02-20 00:00:00"", ""2021-10-15 00:00:00"", ""2022-01-25 00:00:00""], ""timeperiod_to"": [""2018-05-20 00:00:00"", ""2019-09-10 00:00:00"", ""2020-02-15 00:00:00"", ""2021-10-10 00:00:00"", ""2021-12-10 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
7,8,_A4101J_CJHC_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 9, ""config_max"": [1.42, 1.11, 69.3, 1.46, 1.46, 1.82, 1.59, 1.5, 1.6], ""config_min"": [1.48, 1.18, 69.62, 1.54, 1.57, 1.92, 1.68, 1.57, 1.7]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
8,9,_2K1701_LOS_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 3, ""config_max"": [2.23, 1.92, 11.66], ""config_min"": [2.55, 2.03, 12.71]}","{""timedate_range"": 3, ""timeperiod_from"": [""2018-03-20 00:00:00"", ""2020-03-15 00:00:00"", ""2022-02-01 00:00:00""], ""timeperiod_to"": [""2019-09-01 00:00:00"", ""2021-11-01 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
9,10,_A4101J_CICS1_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 8, ""config_max"": [1.58, 1.27, 1.8, 1.53, 69.5, 1.92, 1, 89, 1.689], ""config_min"": [2.66, 76.35, 1.11, 2.61, 1.83, 1.6, 1.63]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
10,11,_A4101J_TP_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 4, ""config_max"": [2.92, 3.59, 66.29, 20.4], ""config_min"": [3.12, 3.79, 66.3, 82.84]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
11,12,_A4101J_TRB_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 4, ""config_max"": [112.19, 2.92, 2.01, 2.17], ""config_min"": [117.98, 3.09, 2.19, 2.31]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
12,13,_2K1701_DGS_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 3, ""config_max"": [10.42, 13.22, 4.93], ""config_min"": [10.85, 208.08, 10.07]}","{""timedate_range"": 5, ""timeperiod_from"": [""2018-04-01 00:00:00"", ""2019-10-10 00:00:00"", ""2020-03-01 00:00:00"", ""2021-10-15 00:00:00"", ""2022-02-01 00:00:00""], ""timeperiod_to"": [""2019-09-10 00:00:00"", ""2020-02-15 00:00:00"", ""2021-10-10 00:00:00"", ""2021-12-10 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
13,14,_A4101J_CTHC_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 4, ""config_max"": [2.17, 1.89, 70.0, 1.53], ""config_min"": [2.27, 2.04, 70.48, 1.63]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
14,15,_A4101J_CPS1_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 5, ""config_max"": [2.76, 2.59, 2.15, 2.53, 69.87], ""config_min"": [3.0, 2.8, 2.36, 2.63, 69.89]}","{""timedate_range"": 3, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""01-09-2021 00:00:00"", ""20-11-2021 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-10-2021 00:00:00"", ""20-12-2021 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
15,16,_A4101J_THB_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 4, ""config_max"": [2, 1.77, 1.64, 63.24], ""config_min"": [2.28, 1.93, 1.89, 63.63]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
16,17,_2K1701_CPS2_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 3, ""config_max"": [1.73, 2.2, 1.36], ""config_min"": [1.9, 2.87, 2.85]}","{""timedate_range"": 5, ""timeperiod_from"": [""2018-03-20 00:00:00"", ""2018-05-25 00:00:00"", ""2019-10-10 00:00:00"", ""2020-02-20 00:00:00"", ""2022-01-21 00:00:00""], ""timeperiod_to"": [""2018-05-22 00:00:00"", ""2019-09-14 00:00:00"", ""2020-02-17 00:00:00"", ""2021-10-10 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
17,18,_A4101J_CICS2_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 7, ""config_max"": [2.46, 76.3, 1.05, 1.2, 1.74, 1.47, 1.57]}","{""timedate_range"": 6, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""01-11-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""25-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-10-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
18,19,_A4101J_CPS4_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 3, ""config_max"": [3.19, 3.49, 141.33], ""config_min"": [3.34, 3.66, 141.88]}","{""timedate_range"": 6, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""01-11-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""25-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-10-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
19,20,_A4101J_CPS3_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 5, ""config_max"": [2.52, 3.84, 2.18, 2.19, 104.13], ""config_min"": [2.71, 4.01, 2.31, 2.3, 104.85]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
20,21,_A4101J_CJLC_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 6, ""config_max"": [2.11, 1.85, 2.93, 2, 18, 98, 2.05], ""config_min"": [2.2, 2, 3.83, 2.3, 99.68, 2.2]}","{""timedate_range"": 5, ""timeperiod_from"": [""01-05-2021 00:00:00"", ""20-07-2021 00:00:00"", ""20-03-2022 00:00:00"", ""01-10-2022 00:00:00"", ""20-11-2022 00:00:00""], ""timeperiod_to"": [""20-06-2021 00:00:00"", ""01-01-2022 00:00:00"", ""20-06-2022 00:00:00"", ""20-10-2022 00:00:00"", ""01-01-2023 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
21,22,_2K1701_CJB_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 4, ""config_max"": [12.34, 4.17, 13.66, 3.43], ""config_min"": [175.29, 4.81, 45.49, 4.01]}","{""timedate_range"": 6, ""timeperiod_from"": [""2018-03-25 00:00:00"", ""2018-06-05 00:00:00"", ""2019-10-10 00:00:00"", ""2020-02-20 00:00:00"", ""2021-10-15 00:00:00"", ""2022-02-01 00:00:00""], ""timeperiod_to"": [""2018-06-01 00:00:00"", ""2019-09-10 00:00:00"", ""2020-02-15 00:00:00"", ""2021-10-10 00:00:00"", ""2021-12-10 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
22,23,_2K1701_CPS3_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 3, ""config_max"": [2.79, 2.46, 6.08], ""config_min"": [3.51, 2.73, 105.38]}","{""timedate_range"": 5, ""timeperiod_from"": [""2018-03-25 00:00:00"", ""2019-10-15 00:00:00"", ""2020-03-15 00:00:00"", ""2021-10-15 00:00:00"", ""2022-01-25 00:00:00""], ""timeperiod_to"": [""2019-09-10 00:00:00"", ""2020-02-15 00:00:00"", ""2021-10-01 00:00:00"", ""2021-12-10 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
23,24,_2K1701_STP_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 5, ""config_max"": [7.67, 3.64, 4.27, 3.5, 5.26], ""config_min"": [172.38, 2.88, 3.85, 6.33]}","{""timedate_range"": 5, ""timeperiod_from"": [""2019-04-05 00:00:00"", ""2019-10-09 00:00:00"", ""2020-03-01 00:00:00"", ""2021-10-15 00:00:00"", ""2022-01-20 00:00:00""], ""timeperiod_to"": [""2019-09-14 00:00:00"", ""2020-02-18 00:00:00"", ""2021-10-10 00:00:00"", ""2021-12-10 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
24,25,_2K1701_STTB_Raw,"{""raw_columns"": """"}",,,,"{""config_clusters"": 8, ""config_max"": [3.51, 2.39, 7.88, 2.49, 2.3, 2.11, 203.34, 113.1], ""config_min"": [3.62, 2.57, 8.54, 2.63, 2.45, 2.31, 203.99, 121.78]}","{""timedate_range"": 3, ""timeperiod_from"": [""2018-04-01 00:00:00"", ""2019-11-01 00:00:00"", ""2022-01-01 00:00:00""], ""timeperiod_to"": [""2019-09-01 00:00:00"", ""2021-12-01 00:00:00"", ""2022-09-01 00:00:00""]}",1.000000000000000000,2023-04-25 13:17:28.021490
